lon,lat,checkin_num
114.42652,30.69811,688
114.4225301,30.6985517,207
114.43352,30.65599,103
114.37012,30.68803,201
114.40102,30.69258,79
114.414106,30.644604,283
114.43319,30.65611,121
114.46054,30.67007,65
114.373176,30.67715,68
114.4121159,30.69831543,160
114.44898,30.64146,54
114.42462,30.64417,337
114.41451,30.69933,131
114.398125,30.66357516,80
114.3964756,30.67131136,37
114.46233,30.65869,59
114.41063,30.65103,36
114.41676,30.64839,150
114.44061,30.65918,47
114.37309,30.6777,31
114.44052,30.65844,48
114.37573,30.68929,8
114.37456,30.69006,2
114.37458,30.68467,1
114.37343,30.68909,1
114.3868,30.68405,1
114.39889,30.6597,2
114.44226,30.65894,1
114.43528,30.67289,7
114.44373,30.70094,2
114.42412,30.64388,16
114.44047,30.65605,7
114.44108,30.65511,6
114.42236,30.65399,10
114.41361,30.64456,2
114.3589132,30.6952964,8
114.433525,30.65599,18
114.404,30.6941,2
114.367736,30.674829,207
114.4128263,30.65153429,1
114.4057297,30.69679905,7
114.3890346,30.68538764,3
114.42076,30.70118,7
114.43416,30.64853,3
114.42756,30.65539,2
114.3634,30.67421,3
114.37213,30.67711,5
114.3552,30.68109,1
114.37251,30.67672,2
114.4196,30.69773,19
114.41889,30.69919,1
114.41976,30.69976,2
114.42225,30.70021,5
114.41601,30.64468,1
114.40603,30.69612,3
114.44379,30.65539,1
114.35534,30.69134,1
114.42145,30.70057,2
114.37292,30.67708,2
114.43995,30.65646,1
114.432257,30.655968,13
114.43144,30.65624,4
114.4408,30.65786,1
114.44139,30.65716,37
114.42927,30.65457,1
114.43939,30.65496,2
114.40606,30.64674,1104
114.40707,30.64608,1
114.36776,30.69065,1
114.37996,30.69082,1
114.41659,30.64464,1
114.40075,30.65727,1
114.36854,30.67363,1
114.36952,30.68742,1
114.38031,30.68697,3
114.35862,30.69215,1
114.4506,30.65548,1
114.36592,30.69182,1
114.43104,30.65783,1
114.37253,30.69181,1
114.42655,30.69849,1
114.37272,30.6939,1
114.41494,30.69695,2
114.41618,30.69958,1
114.37803,30.68655,1
114.379722,30.686567,11
114.374832,30.688955,61
114.3723589,30.67697762,1
114.3701,30.69328,1
114.40863,30.65044,1
114.37201,30.694,2
114.370506,30.687416,3
