lon,lat,checkin_num
116.5116282,39.91724133,4
116.4545532,39.91354769,1
116.3429075,39.92312911,2
116.4979683,39.84253232,11
116.4283888,39.9650548,199
116.4375117,39.94969299,6
116.3121576,40.01530426,4
116.3901995,39.93355507,1
116.3511966,40.00301081,3339
116.4456775,39.91334859,47
116.4490938,39.94131651,141
116.4726117,39.97326183,3
116.464351,39.90984545,4
116.4451877,39.91510607,1
116.4295116,39.91156888,2
116.4610726,39.92631576,15
116.3064297,39.9799542,1
116.421769,39.9764671,45
116.411623,39.92995855,58
116.3795056,39.89900057,16
116.3654335,39.93098369,1
116.2033129,39.93293575,4
116.3466285,39.93968164,4
116.2421465,39.90671276,1
116.4638048,39.87037518,2
116.3543473,39.89868207,1
116.4404687,39.97090732,1
116.3487743,39.94932887,1
116.4642135,39.90788442,28
116.4131784,39.94960076,1
116.4924993,39.7881529,1
116.2914078,39.91177208,6
116.3250857,39.99204903,11
116.3390562,39.91505678,3
116.4520056,39.90809459,3
116.3641145,39.93909502,1
116.4687191,39.99688215,8
116.2719215,39.96233661,212
116.4400136,39.88082997,7
116.4580211,39.90621693,1
116.4759346,39.97524334,46
116.3400153,39.97605341,1
116.398256,39.99236318,93
116.4955008,39.79307096,4
116.2282479,39.93233838,16
116.4268998,39.89272905,5
116.4154966,39.9788602,42
116.3618057,39.88369952,9
116.2872229,39.94078802,19
116.2849607,39.94070355,3
116.3553948,39.98613648,144
116.3934227,39.96164476,229
116.4578879,39.8703792,1
116.4408911,39.95736648,155
116.375906,39.97172375,1
116.3756829,39.98827143,2
116.3894214,39.93473399,1
116.4100125,39.92369784,7
116.3987133,39.93681583,11
116.2829399,39.95712416,7
116.4108967,39.93629021,8
116.4453583,39.95738683,2
116.4830609,39.93889609,1
116.4681893,39.9483826,115
116.4549691,39.95333818,2
116.3305664,39.99172959,3
116.4475184,39.9358125,4
116.3006178,39.94264691,2
116.3885607,39.80568242,2
116.4643327,39.99399042,3
116.4537776,39.93490729,11
116.4067043,40.00061633,3
116.4849317,39.98315796,19
116.499099,39.92679442,36
116.4437654,39.97087181,12
116.3125896,39.96991429,105
116.2199325,39.90454357,3
116.3287167,39.99121051,2
116.2948404,39.92744813,1
116.3791422,39.99850695,43
116.3530809,39.91619271,2
116.3341174,39.96178257,1
116.3300151,39.89652352,37
116.4833023,39.96844428,91
116.434708,39.98974468,55
116.426636,39.92377518,122
116.296949,39.93251414,3
116.2837854,39.95787446,16
116.4011367,39.96400249,7
116.4002176,39.99014337,3
116.4005399,39.85565835,2
116.4562053,39.92111207,1
116.4446654,39.93136638,19
116.3157672,39.7613902,4
116.3670362,39.90943348,9
116.485308,39.9128532,60
116.3745651,39.84873699,13
116.3693565,39.87740419,9
116.4212024,39.92596951,2
116.4018773,39.84273139,39
116.4435133,39.90782453,700
116.4864476,39.98637429,2
116.4841194,39.98626442,1
116.4574033,39.95048316,37
116.3550715,39.95247742,1
116.4027969,39.99277981,81
116.4445458,39.90927614,1
116.4721261,39.87586773,21
116.3022508,39.97414455,62
116.4884504,39.83155646,6
116.3529591,39.91644084,12
116.3675735,39.99764797,2
116.3312008,39.91071132,28
116.2923228,39.96373996,4
116.4058391,39.90149891,11
116.4274471,39.97608515,2
116.4682743,40.00286976,2
116.4235097,39.98810731,7
116.4078779,39.95749732,1
116.3036633,39.88113218,2
116.323126,39.95930495,1
116.399157,39.98855255,1
116.4118586,39.93925857,14
116.3639239,39.94047612,2
116.2815598,39.90577847,40
116.4700674,39.86841993,3
116.488567,39.87897462,4
116.491827,39.89883127,5
116.5284111,39.96035289,299
116.3292743,39.7950526,27
116.4176684,39.95965975,1
116.3061622,39.98833523,4
116.26527,39.93951267,9
