lon,lat,checkin_num
103.91952,30.5768,2
103.92535,30.57451,4
103.93002,30.5709,27
103.91664,30.57718,1
103.93111,30.57817,1
103.91593,30.57554,3
103.91561,30.57524,1
103.92039,30.57442,2
103.91881,30.57503,1
103.93424,30.57549,1
103.92433,30.5627,5
103.92337,30.57237,2
103.91875,30.5726,2
103.91815,30.57275,3
103.92103,30.57293,3
103.92375,30.57095,2
103.93418,30.57088,36
103.91473,30.57614,2
103.92551,30.55989,3
103.92504,30.57102,3
103.917948,30.5812,3
103.962963,30.553013,26
103.948418,30.556997,16
103.9232531,30.5772603,13
103.95713,30.565845,8
103.955879,30.56442,9
103.927059,30.568358,2
103.919678,30.574085,2
103.915199,30.570194,12
103.925117,30.563678,8
103.929397,30.556859,4
103.924522,30.564956,2
103.924,30.573,2
103.923,30.574,2
103.923,30.574,1
103.922117,30.571887,2
103.9227864,30.57941968,1
103.9184171,30.56123549,1
103.9259461,30.55955869,1
103.9195134,30.56364339,8
103.920102,30.56984239,3
103.9198758,30.5683941,2
103.9281204,30.55802951,3
103.9197222,30.57959039,1
103.92188,30.56784,7
103.92301,30.57074,4
103.92088,30.57205,6
103.94334,30.55205,2
103.91941,30.56434,3
103.91496,30.56961,8
103.91489,30.57043,3
103.9153565,30.55581082,65
103.93417,30.56748,25
103.92014,30.56467,8
103.91462,30.56885,46
103.92056,30.57269,21
103.92749,30.56454,17
103.919678,30.572755,9
103.927101,30.55889,67
103.946418,30.5505,8
103.956306,30.556243,5
103.92,30.5632,14
103.916,30.573,3
103.949279,30.558963,8
103.922578,30.574023,35
103.953272,30.570262,8
103.922889,30.571367,4
103.9176289,30.56034044,1
103.923713,30.574181,1
103.923713,30.574181,4
103.923713,30.574181,2
103.923713,30.57418,6
103.923552,30.56721482,7
103.92185,30.57416,3
103.91723,30.5686,1
103.923713,30.574181,1
103.9199018,30.5698205,2
103.914681,30.573252,1
103.91481,30.57703,1
103.93343,30.57429,1
103.91561,30.57953,1
103.91957,30.56363,4
103.9186,30.57735,1
103.93612,30.56282,2
103.92143,30.56747,1
103.91716,30.56506,3
103.91842,30.58248,6
103.93169,30.56094,16
103.929,30.56251,2
103.92305,30.56501,3
103.92904,30.57537,2
103.92256,30.56895,2
103.93317,30.5598,7
103.9342,30.57683,16
103.92168,30.56636,9
103.91574,30.57735,3
103.9182,30.5724,1
103.92152,30.57991,5
103.93089,30.55988,1
103.92209,30.58116,15
103.92037,30.5677,1
103.92175,30.57678,1
103.92521,30.5629,1
103.92011,30.57413,16
103.92254,30.5653,4
103.91727,30.55985,13
103.92506,30.57422,2
103.92127,30.57395,18
103.92825,30.57475,3
103.92169,30.56637,2
103.92795,30.56141,7
103.9279,30.56135,2
103.92745,30.5603,1
103.92576,30.5646,3
103.93124,30.56049,2
103.95,30.5556,1
103.92246,30.57036,1
103.91927,30.56309,1
103.91915,30.56291,2
103.91902,30.56263,1
103.91897,30.56254,1
103.92203,30.56684,9
103.92639,30.55866,1
103.93147,30.55496,1
103.924201,30.56059,1
103.93006,30.55936,1
103.93097,30.56025,1
103.92752,30.57018,1
103.93135,30.56668,1
103.92348,30.56336,2
103.92836,30.56299,11
103.92801,30.56895,1
103.92432,30.56535,1
103.91632,30.57368,2
103.9383,30.56202,1
103.95594,30.56805,1
103.91878,30.56709,11
103.92279,30.57169,1
103.91994,30.56768,7
103.9242,30.57148,1
103.92098,30.57264,1
103.9171,30.57263,1
103.91786,30.57244,1
103.9187,30.56687,3
103.91809,30.56352,2
103.91924,30.56717,2
103.92049,30.57094,2
103.91643,30.5726,1
103.91689,30.57442,3
103.91668,30.56538,1
103.9265,30.56183,3
103.92604,30.56139,1
103.92472,30.56044,2
103.92461,30.56499,1
103.92544,30.56581,7
103.929,30.56902,12
103.92614,30.56712,1
103.92525,30.56626,1
103.92992,30.56232,1
103.9275,30.56415,2
103.9263,30.56509,3
103.92366,30.56864,23
103.93159,30.56706,2
103.92687,30.57067,1
103.93481,30.55867,1
103.92625,30.57083,1
103.96124,30.55982,4
103.93855,30.56819,1
103.91862,30.57271,1
103.95171,30.56742,1
